Operación nº,Tipo,Fecha y hora,Señal,Precio USD,Tamaño de la posición (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
498,Entrada en corto,2024-10-09 15:30,Short,2610.18,40.9,106756.362,-501.84,-0.47,343.56,0.32,-501.84,-0.47,18236.92,18.24
499,Salida en largo,2024-10-22 15:30,Exit,2740.63,29.6,79620.152,1502.5,1.89,1502.5,1.89,-183.82,-0.23,19739.41,19.74
499,Entrada en largo,2024-10-17 16:15,Long,2689.87,29.6,79620.152,1502.5,1.89,1502.5,1.89,-183.82,-0.23,19739.41,19.74
500,Salida en largo,2024-10-30 14:30,Exit,2773.67,37.6,104788.568,-498.58,-0.48,22.56,0.02,-498.58,-0.48,19240.84,19.24
500,Entrada en largo,2024-10-30 14:15,Long,2786.93,37.6,104788.568,-498.58,-0.48,22.56,0.02,-498.58,-0.48,19240.84,19.24
501,Salida en largo,2024-10-31 14:00,Exit,2770.67,27.1,75584.068,-498.91,-0.66,28.18,0.04,-498.91,-0.66,18741.93,18.74
501,Entrada en largo,2024-10-30 18:30,Long,2789.08,27.1,75584.068,-498.91,-0.66,28.18,0.04,-498.91,-0.66,18741.93,18.74
502,Salida en corto,2024-11-05 15:30,Exit,2748.12,39.9,109146.051,-503.94,-0.46,430.52,0.39,-503.94,-0.46,18237.99,18.24
502,Entrada en corto,2024-11-04 17:15,Short,2735.49,39.9,109146.051,-503.94,-0.46,430.52,0.39,-503.94,-0.46,18237.99,18.24
503,Salida en corto,2024-11-06 14:00,Exit,2686.28,31.3,85576.078,1495.51,1.75,1495.51,1.75,-490.47,-0.57,19733.5,19.73
503,Entrada en corto,2024-11-05 16:30,Short,2734.06,31.3,85576.078,1495.51,1.75,1495.51,1.75,-490.47,-0.57,19733.5,19.73
504,Salida en corto,2024-11-13 14:30,Exit,2613.31,43.7,113701.282,-500.36,-0.44,37.58,0.03,-500.36,-0.44,19233.14,19.23
504,Entrada en corto,2024-11-13 09:15,Short,2601.86,43.7,113701.282,-500.36,-0.44,37.58,0.03,-500.36,-0.44,19233.14,19.23
505,Salida en corto,2024-11-15 12:30,Exit,2571.7,42.5,108797.45,-499.8,-0.46,240.98,0.22,-499.8,-0.46,18733.34,18.73
505,Entrada en corto,2024-11-15 07:00,Short,2559.94,42.5,108797.45,-499.8,-0.46,240.98,0.22,-499.8,-0.46,18733.34,18.73
506,Salida en largo,2024-11-20 08:45,Exit,2622.21,43.6,114828.448,-500.09,-0.44,354.9,0.31,-500.09,-0.44,18233.25,18.23
506,Entrada en largo,2024-11-19 22:00,Long,2633.68,43.6,114828.448,-500.09,-0.44,354.9,0.31,-500.09,-0.44,18233.25,18.23
507,Salida en corto,2024-12-02 15:00,Exit,2649.98,39.2,103878.824,-0.39,0.00,1112.5,1.07,-39.98,-0.04,18232.85,18.23
507,Entrada en corto,2024-11-29 20:15,Short,2649.97,39.2,103878.824,-0.39,0.00,1112.5,1.07,-39.98,-0.04,18232.85,18.23
508,Salida en corto,2024-12-03 14:45,Exit,2651.52,32.9,86737.231,-497.78,-0.57,95.08,0.11,-497.78,-0.57,17735.08,17.74
508,Entrada en corto,2024-12-02 19:15,Short,2636.39,32.9,86737.231,-497.78,-0.57,95.08,0.11,-497.78,-0.57,17735.08,17.74
509,Salida en corto,2024-12-06 05:15,Exit,2643.13,40.2,106250.61,-3.22,0.00,1204.39,1.13,-459.08,-0.43,17731.86,17.73
509,Entrada en corto,2024-12-05 10:00,Short,2643.05,40.2,106250.61,-3.22,0.00,1204.39,1.13,-459.08,-0.43,17731.86,17.73
510,Salida en corto,2024-12-09 00:00,Exit,2646.71,28.6,75166.806,-529.1,-0.70,71.5,0.10,-529.1,-0.70,17202.76,17.20
510,Entrada en corto,2024-12-06 15:15,Short,2628.21,28.6,75166.806,-529.1,-0.70,71.5,0.10,-529.1,-0.70,17202.76,17.20
511,Salida en corto,2024-12-09 02:15,Exit,2648.56,24.9,65445.417,-503.73,-0.77,6.23,0.01,-503.73,-0.77,16699.03,16.70
